"","zip_code","location","population","people_sq_mile"
"237","01056","42.188865, -72.459078","21,172","768.14"
"238","01560","42.175395, -71.674223","2,807","763.52"
"239","02670","41.660113, -70.170678","1,653","759.38"
"240","02563","41.728137, -70.476549","10,844","758.07"
"241","02210","42.347682, -71.041731","592","757.88"
"242","02359","42.067608, -70.800053","16,927","744.91"
"243","01745","42.288947, -71.506538","444","744.64"
"244","02333","42.037287, -70.940459","12,974","743.32"
"245","02559","41.690243, -70.616283","3,158","736.13"
"246","02067","42.108463, -71.185182","17,389","735.58"
"247","01536","42.229917, -71.696798","6,380","726.51"
"248","02771","41.837751, -71.320428","13,425","726.43"
"249","01746","42.195951, -71.453430","13,801","724.49"
"250","02675","41.703990, -70.234638","6,792","717.04"
"251","02025","42.236423, -70.814436","7,261","709.34"
"252","02671","41.668250, -70.112822","999","708.81"
"253","01860","42.838603, -71.011997","6,138","708.78"
"254","02648","41.667728, -70.416738","7,545","698.09"
"255","02056","42.113656, -71.334162","10,460","686.30"
"256","01776","42.382673, -71.424123","16,845","683.63"
"257","02777","41.758175, -71.214202","15,979","682.24"
"258","02536","41.596976, -70.567877","19,623","679.89"
"259","02571","41.757831, -70.706114","10,301","673.52"
"260","01520","42.334261, -71.854238","12,642","673.40"
"261","01834","42.757786, -71.015117","6,038","671.08"
"262","02538","41.776360, -70.648923","2,988","670.76"
"263","02762","42.012209, -71.338091","7,683","668.07"
"264","01301","42.626761, -72.601530","18,482","667.07"
"265","02493","42.360502, -71.303433","11,469","664.03"
"266","01886","42.585295, -71.439826","20,754","663.95"
"267","02071","42.106285, -71.269335","993","659.81"
"268","02646","41.670596, -70.071449","1,908","656.49"
"269","01742","42.462911, -71.364496","17,076","656.11"
"270","01432","42.554678, -71.582654","8,042","654.30"
"271","01201","42.458240, -73.283144","47,623","647.56"
"272","02054","42.172551, -71.362811","7,902","645.44"
"273","01085","42.155792, -72.772912","40,729","643.66"
"274","01002","42.376821, -72.467874","36,794","639.17"
"275","02364","41.987302, -70.749212","11,780","631.58"
"276","02635","41.625684, -70.441087","3,313","626.72"
"277","02766","41.957441, -71.179067","18,036","626.11"
"278","02718","41.862486, -71.011690","6,726","621.66"
"279","02341","42.050330, -70.867152","9,424","619.71"
"280","02650","41.701807, -69.963804","1,005","613.65"
"281","01062","42.328314, -72.703923","11,225","613.43"
"282","01879","42.667762, -71.428820","11,072","611.50"
"283","02375","42.003041, -71.076928","9,795","600.44"
"284","02332","42.044373, -70.706115","14,248","598.23"
"285","02360","41.885289, -70.616158","51,558","598.18"
"286","01611","42.237604, -71.875838","2,365","594.76"
"287","01095","42.127327, -72.427404","13,650","577.33"
"288","02655","41.632846, -70.390711","4,088","577.19"
"289","02638","41.733305, -70.190740","3,862","571.10"
"290","01944","42.578746, -70.769598","5,228","563.62"
"291","01833","42.726772, -70.974422","7,377","560.27"
"292","01982","42.626223, -70.857230","8,315","557.60"
"293","01772","42.302877, -71.530828","8,337","555.54"
"294","01529","42.036642, -71.578779","2,724","550.82"
"295","01540","42.119514, -71.858817","11,366","544.47"
"296","01984","42.600595, -70.883406","4,440","543.21"
"297","02743","41.718217, -70.901151","10,101","539.97"
"298","01949","42.609661, -71.006100","7,744","536.19"
"299","01519","42.199428, -71.671955","5,712","533.11"
"300","02645","41.701553, -70.061207","9,466","532.54"
"301","01534","42.151614, -71.666920","4,742","519.42"
"302","01952","42.849908, -70.860836","7,827","502.20"
"303","02649","41.621476, -70.490935","12,951","498.60"
"304","01571","42.053778, -71.935075","10,792","496.05"
"305","02748","41.553574, -70.971135","11,326","495.45"
"306","02672","41.635751, -70.318777","248","494.98"
"307","02630","41.701140, -70.303238","1,909","484.87"
"308","02659","41.685513, -70.022024","1,173","484.21"
"309","02767","41.937929, -71.054394","11,551","483.58"
"310","01463","42.670643, -71.602858","11,142","479.96"
"311","01983","42.641379, -70.943440","6,141","478.24"
"312","01748","42.224086, -71.540494","13,346","474.95"
"313","01022","42.197741, -72.542713","2,331","474.17"
"314","02537","41.728423, -70.435818","5,924","472.42"
"315","01719","42.485985, -71.520985","4,868","467.79"
"316","01460","42.535931, -71.490569","8,180","466.51"
"317","01542","42.204251, -71.908907","2,020","464.68"
"318","02543","41.531991, -70.658599","785","462.70"
"319","02061","42.164569, -70.818844","9,765","462.65"
"320","01583","42.374650, -71.786281","6,226","461.52"
"321","02093","42.052671, -71.356858","10,554","460.78"
"322","02747","41.658000, -71.013460","19,419","454.46"
"323","02338","42.003513, -70.863334","7,571","440.77"
"324","02379","42.021617, -71.026717","6,629","421.15"
"325","02631","41.747016, -70.068779","9,954","408.72"
"326","01027","42.295007, -72.751864","17,489","406.76"
"327","01376","42.620976, -72.525899","6,488","392.54"
"328","01938","42.685660, -70.845521","12,987","385.41"
"329","02633","41.677948, -69.959781","4,291","383.14"
"330","02642","41.841331, -69.977436","5,453","379.90"
"331","02739","41.668423, -70.818141","6,268","378.81"
"332","01569","42.055892, -71.631294","11,080","376.23"
"333","01464","42.573654, -71.640986","6,373","375.29"
"334","01524","42.248129, -71.917860","6,135","373.20"
"335","02738","41.709470, -70.767483","5,123","365.82"
"336","01773","42.425506, -71.310812","5,152","359.11"
"337","02030","42.234129, -71.283463","5,558","358.13"
"338","01562","42.248575, -71.993130","11,691","348.93"
"339","02657","42.062300, -70.199307","3,431","348.43"
"340","02653","41.762333, -69.972054","6,354","346.54"
"341","02779","41.838061, -71.077615","5,744","346.31"
"342","02330","41.873995, -70.769883","11,154","344.76"
"343","01462","42.582607, -71.720464","9,403","339.63"
"344","01069","42.187794, -72.308469","9,884","333.91"
"345","01775","42.429688, -71.512514","5,902","327.03"
"346","01922","42.757313, -70.914241","2,945","325.80"
"347","01921","42.683108, -71.018330","7,921","324.29"
"348","01537","42.158966, -71.897051","1,937","319.14"
"349","02764","41.850357, -71.161699","3,949","318.89"
"350","01053","42.349147, -72.718516","1,452","318.32"
"351","02576","41.772221, -70.762948","3,196","311.01"
"352","01969","42.720211, -70.898969","5,500","310.90"
"353","02534","41.669004, -70.615280","839","308.58"
"354","01469","42.662907, -71.679430","6,200","307.70"
"355","01741","42.536620, -71.361832","4,717","304.97"
"356","01436","42.606863, -72.086138","3,097","304.34"
"357","01220","42.617552, -73.119966","9,442","299.53"
"358","01985","42.799516, -70.964411","4,149","298.39"
"359","01523","42.476325, -71.681245","7,273","298.25"
"360","02347","41.834474, -70.957040","9,829","294.40"
"361","01247","42.685825, -73.071342","17,043","293.85"
"362","01756","42.094470, -71.544902","5,286","291.67"
"363","02346","41.878004, -70.869267","19,933","285.50"
"364","01450","42.611760, -71.565269","9,547","284.40"
"365","01077","42.052570, -72.777353","8,835","279.01"
"366","01612","42.296627, -71.929598","4,406","275.10"
"367","02647","41.631396, -70.308397","115","274.99"
"368","01375","42.466753, -72.546835","3,776","270.04"
"369","01505","42.355049, -71.716157","4,008","263.41"
"370","01036","42.071188, -72.417718","5,134","261.08"
"371","01568","42.176526, -71.603588","5,637","259.81"
"372","01770","42.233570, -71.374690","4,200","259.75"
"373","01038","42.385496, -72.606930","2,558","257.30"
"374","01507","42.133935, -71.968025","11,263","253.23"
"375","01590","42.132051, -71.750318","8,244","249.12"
"376","01007","42.277659, -72.405468","13,017","241.42"
"377","01518","42.127842, -72.119198","2,254","240.96"
"378","02790","41.592475, -71.085498","14,649","234.21"
"379","01475","42.667189, -72.046009","9,586","232.79"
"380","01474","42.669197, -71.745843","2,998","231.48"
"381","01564","42.447924, -71.776045","7,257","231.18"
"382","01929","42.631892, -70.779478","3,267","229.17"
"383","01082","42.293533, -72.278599","9,961","228.47"
"384","01331","42.570269, -72.182965","12,922","225.71"
"385","02715","41.815051, -71.157549","2,226","225.69"
"386","02568","41.433705, -70.655483","9,551","225.08"
"387","01535","42.267564, -72.066876","4,683","223.73"
"388","02702","41.780396, -71.049390","4,084","220.05"
"389","01451","42.503872, -71.578126","5,000","215.99"
"390","02358","41.805376, -70.627840","4","215.74"
"391","02668","41.710853, -70.362696","3,125","215.19"
"392","02366","41.856419, -70.652397","126","215.07"
"393","01033","42.244958, -72.500034","6,139","214.88"
"394","02769","41.846963, -71.244503","10,110","212.96"
"395","01035","42.356482, -72.568576","4,793","212.07"
"396","01515","42.209682, -72.040178","2,097","210.40"
"397","01951","42.779378, -70.859637","2,693","208.70"
"398","01740","42.439937, -71.601876","4,148","206.34"
"399","01364","42.601134, -72.295516","7,583","205.71"
"400","02717","41.748162, -70.984925","4,400","203.89"
"401","01073","42.226949, -72.741588","5,387","198.66"
"402","02669","41.666646, -69.989702","156","193.64"
"403","01236","42.274122, -73.363467","2,135","193.53"
"404","01566","42.103214, -72.079545","5,583","192.68"
"405","02554","41.278764, -70.075644","9,520","192.64"
"406","01240","42.367862, -73.269768","5,170","191.96"
"407","01506","42.181793, -72.107473","3,051","191.62"
"408","01521","42.046798, -72.180149","2,405","188.13"
"409","01516","42.053072, -71.752242","7,070","187.08"
"410","01473","42.554600, -71.905440","6,904","186.49"
"411","01222","42.062743, -73.317498","853","186.34"
"412","01585","42.239641, -72.166925","5,617","185.50"
"413","01057","42.093596, -72.321494","8,257","183.48"
"414","01503","42.384929, -71.633889","2,380","182.86"
"415","01522","42.375634, -71.867382","2,959","178.88"
"416","01092","42.205423, -72.238171","1,087","178.44"
"417","01349","42.571518, -72.493983","1,613","177.14"
"418","02367","41.959100, -70.802753","2,637","174.42"
"419","01083","42.221739, -72.218842","2,285","171.19"
"420","01827","42.676078, -71.500517","2,826","169.29"
"421","01543","42.388977, -71.970514","6,353","168.90"
"422","02652","42.041208, -70.089735","1,360","161.54"
"423","01262","42.280297, -73.307639","817","155.95"
"424","01468","42.542767, -72.068345","3,228","151.10"
"425","01267","42.671616, -73.246981","8,738","147.14"
"426","01373","42.460058, -72.630922","5,309","145.52"
"427","01430","42.673109, -71.920260","5,554","140.34"
"428","02539","41.376928, -70.539683","3,776","136.52"
"429","01226","42.500999, -73.089021","7,865","135.23"
"430","02667","41.927730, -70.016625","2,752","133.39"
"431","01039","42.387158, -72.700088","1,128","133.27"
"432","01467","42.484923, -71.625537","230","128.78"
"433","02770","41.759846, -70.838449","4,391","128.27"
"434","01225","42.559641, -73.162407","2,768","126.85"
"435","01005","42.418885, -72.112954","5,077","119.06"
"436","01431","42.676293, -71.832523","2,845","117.79"
"437","01351","42.539880, -72.521689","2,349","117.22"
"438","01081","42.061313, -72.234411","1,641","117.09"
"439","01031","42.339700, -72.200510","1,263","116.40"
"440","01238","42.293624, -73.214900","6,416","112.48"
"441","01088","42.393142, -72.645548","612","111.16"
"442","02575","41.381496, -70.659642","399","106.18"
"443","02542","41.693495, -70.537843","1,582","99.90"
"444","01541","42.454125, -71.877540","3,353","94.58"
"445","01010","42.129477, -72.205302","3,348","94.53"
"446","01071","42.160060, -72.873853","1,654","93.36"
"447","01452","42.489598, -72.002878","3,909","89.39"
"448","01360","42.677091, -72.453876","2,951","87.14"
"449","01370","42.593338, -72.726941","4,432","87.10"
"450","01230","42.172941, -73.324463","9,157","85.20"
"451","01068","42.353887, -72.060685","1,716","81.28"
"452","01254","42.375021, -73.363093","1,030","80.30"
"453","01338","42.575888, -72.806648","51","73.50"
"454","01337","42.689307, -72.582249","2,619","72.96"
"455","01072","42.456968, -72.417244","1,458","68.46"
"456","01096","42.409885, -72.774099","2,623","68.34"
"457","01266","42.309224, -73.376752","1,742","66.23"
"458","01054","42.469588, -72.484502","1,444","65.83"
"459","01342","42.546117, -72.607204","1,014","64.03"
"460","01344","42.613418, -72.426427","871","64.00"
"461","01257","42.098415, -73.378426","2,290","60.87"
"462","01235","42.430620, -73.064073","2,536","60.50"
"463","01237","42.555658, -73.243027","2,450","59.74"
"464","01050","42.294669, -72.890125","2,404","59.21"
"465","02666","41.990779, -70.045721","724","58.31"
"466","01341","42.504432, -72.701760","1,738","49.32"
"467","01531","42.324499, -72.113909","913","45.29"
"468","01330","42.513947, -72.821517","1,590","43.93"
"469","01026","42.465495, -72.918267","1,031","42.20"
"470","01029","42.193435, -73.041961","572","40.58"
"471","01340","42.685953, -72.721000","1,880","40.30"
"472","01253","42.197448, -73.096312","692","39.40"
"473","01098","42.397559, -72.943392","1,235","38.68"
"474","01011","42.293933, -72.993099","2,069","36.15"
"475","01037","42.372728, -72.195412","710","36.03"
"476","01379","42.534508, -72.415384","891","33.90"
"477","01259","42.070679, -73.247301","559","32.78"
"478","01245","42.187320, -73.210154","956","32.75"
"479","01346","42.660040, -72.819982","290","32.22"
"480","01012","42.375425, -72.858192","523","31.69"
"481","01032","42.457613, -72.814780","212","31.09"
"482","01070","42.520343, -72.926670","566","29.14"
"483","01339","42.626342, -72.878315","1,973","28.95"
"484","01223","42.340966, -73.120673","1,715","28.37"
"485","01368","42.679456, -72.176935","1,251","27.79"
"486","01034","42.098207, -72.961272","1,926","26.05"
"487","01008","42.192222, -72.964379","1,235","23.75"
"488","01366","42.475426, -72.211701","1,171","22.02"
"489","01378","42.666871, -72.345995","750","19.98"
"490","01264","42.228069, -73.194248","234","19.43"
"491","02535","41.341585, -70.796008","1,205","19.20"
"492","01256","42.594166, -73.022320","705","18.99"
"493","01355","42.458522, -72.327219","873","18.65"
"494","01084","42.361743, -72.874988","147","18.56"
"495","01255","42.102899, -73.125990","752","15.98"
"496","01380","42.586998, -72.392870","90","15.41"
"497","01367","42.695532, -72.909148","361","14.76"
"498","02713","41.432882, -70.873822","56","10.74"
"499","01350","42.727772, -72.985346","93","8.65"
"500","01258","42.090924, -73.470197","130","5.81"
